PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Fan, GY; Huang, WJ				Fan, Guang-yin; Huang, Wen-Jun			Solvent-Free Hydrogenation of Nitrobenzene Catalyzed by Magnetically Recoverable Pt Deposited on Multiwalled Carbon Nanotubes	SYNTHESIS AND REACTIVITY IN INORGANIC METAL-ORGANIC AND NANO-METAL CHEMISTRY			English	Article						amine; hydrogenation; platinum catalyst; nitroarenes	FREE SELECTIVE HYDROGENATION; NITROARENES; CHLORONITROBENZENE; CHLOROANILINE; REDUCTION; EFFICIENT; OXIDE	The hydrogenation of nitrobenzene was investigated over magnetically recoverable Pt deposited on multiwalled carbon nanotubes. Under optimal reaction conditions (333 K, 4 MPa), high yield of aniline (>99%) was observed in solvent-free conditions. The Pt/MWCNTs catalyst cannot be reused while the Pt/MWCNTs-Fe3O4 can be recycled four times without any loss of activity. The results of characterization showed the existence of interaction between MWCNTs and Fe3O4, which can effectively stabilize the Pt nanoparticles. Moreover, the magnetic nanocomposites can be readily isolated from the reaction system by a magnet.	[Fan, Guang-yin; Huang, Wen-Jun] China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637009, Peoples R China	Fan, GY (reprint author), China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637009, Peoples R China.	fanguangyin@cwnu.edu.cn			National Natural Science Foundation of China [21207109]; Scientific Research Fund of Sichuan Provincial Education Department [11ZA034]; Program for Scientific and Technological Innovative Team in Sichuan Provincial Universities [2010008]; Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of High Education [LZJ1205]; Program for Scientific Research Innovation Team of China West Normal University; China West Normal University [09B006, 10A018]	This work was financially supported by the National Natural Science Foundation of China (21207109), Scientific Research Fund of Sichuan Provincial Education Department (11ZA034), the Program for Scientific and Technological Innovative Team in Sichuan Provincial Universities (2010008), the Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of High Education (No. LZJ1205), Program for Scientific Research Innovation Team of China West Normal University, and the funds provided by China West Normal University (09B006 and 10A018).		21	2	2	1	31	TAYLOR & FRANCIS INC	PHILADELPHIA	530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA	1553-3174	1553-3182		SYNTH REACT INORG M	Synth. React. Inorg. Met.-Org. Nano-Metal Chem.	DEC 2	2015	45	12					1819	1825		10.1080/15533174.2013.872139		7	Chemistry, Inorganic & Nuclear; Nanoscience & Nanotechnology	Chemistry; Science & Technology - Other Topics	CO4XG	WOS:000359163600011		
J	Tang, C; Asiri, AM; Luo, YL; Sun, XP				Tang, Chun; Asiri, Abdullah M.; Luo, Yonglan; Sun, Xuping			Electrodeposited Ni-P Alloy Nanoparticle Films for Efficiently Catalyzing Hydrogen- and Oxygen-Evolution Reactions	CHEMNANOMAT			English	Article						bifunctional catalysts; electrodeposition; hydrogen energy; nickel; water splitting	NANOSTRUCTURED NICKEL PHOSPHIDE; WATER OXIDATION; ELECTROCATALYST; CATALYSTS; CELLS; FOAM; CO	Development of earth-abundant bifunctional electrocatalysts for both the hydrogen evolution reaction (HER) and oxygen evolution reaction (OER) is highly desirable but still remains a great challenge. In this Communication, we demonstrate that a Ni-P alloy nanoparticle film electrodeposited on Ni foam (Ni-P/NF) acts as an efficient bifunctional water-splitting electrocatalyst with strong durability in alkaline media. This electrode needs overpotentials of 80 and 309 mV to drive 10 mAcm(-2) for HER and OER, respectively, in 1.0m KOH, and its two-electrode water electrolyzer requires voltage of 1.67V to reach 10 mAcm(-2).	[Tang, Chun; Luo, Yonglan; Sun, Xuping] China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637002, Sichuan, Peoples R China; [Asiri, Abdullah M.; Sun, Xuping] King Abdulaziz Univ, Dept Chem, Jeddah 21589, Saudi Arabia; [Asiri, Abdullah M.; Sun, Xuping] King Abdulaziz Univ, Ctr Excellence Adv Mat Res, Jeddah 21589, Saudi Arabia	Luo, YL (reprint author), China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637002, Sichuan, Peoples R China.	luoylcwnu@hotmail.com; sunxp@cwnu.edu.cn	Asiri, Abdullah/C-3458-2009	Asiri, Abdullah/0000-0001-7905-3209				38	15	15	17	24	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY		2199-692X		CHEMNANOMAT	ChemNanoMat	DEC	2015	1	8					558	561		10.1002/cnma.201500163		4	Chemistry, Multidisciplinary; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary	Chemistry; Science & Technology - Other Topics; Materials Science	DW6OB	WOS:000383769600002		
J	Yang, ZZ; Shi, H; Yang, D; Cai, YC; Ren, XY				Yang, Zhenzhi; Shi, Hong; Yang, Dan; Cai, Yinchun; Ren, Xuanyu			Analysis of core stakeholder behaviour in the tourism community using economic game theory	TOURISM ECONOMICS			English	Article; Proceedings Paper	4th International Conference on Tourism between China and Spain	JUL, 2014	Mataro, SPAIN			core stakeholder behaviour; decision mechanism; game theory; tourism community; sustainable development; Qingcheng Mountain	MARKET; INVESTMENT; EMPLOYMENT; STRATEGY; MODEL	In a Nash equilibrium, every participant's strategy is the optimal reaction to the strategies of others. Based on economic theory, this paper analyses core stakeholders' behaviour in the tourism community at Qingcheng Mountain, Chengdu, China. Taking taxation, land prices and employment as the payoffs, and the local government, the community and the investors as the players, the incomplete information static game model is applied to outline the stakeholders' behaviour. The paper also examines who benefits the most and who occupies a dominant position. The results indicate that the game strategy of residents in Qingcheng Mountain is influenced by the investors. The influence of the investors is also crucial in the decision making mechanism of the tourism community to maintain sustainable tourism development.	[Yang, Zhenzhi; Yang, Dan; Cai, Yinchun] Sichuan Univ, Tourism Sch, 29 Wangjiang Rd, Chengdu 610064, Sichuan, Peoples R China; [Shi, Hong] Sichuan Univ, China Leisure & Tourism Ctr, Chengdu 610064, Sichuan, Peoples R China; [Yang, Dan] China West Normal Univ, Sch Foreign Languages, Nanchong, Peoples R China; [Ren, Xuanyu] Panzhihua Univ, Sch Humanities & Social Sci, Panzhihua, Peoples R China	Yang, ZZ (reprint author), Sichuan Univ, Tourism Sch, 29 Wangjiang Rd, Chengdu 610064, Sichuan, Peoples R China.	yzz310@163.com; 421157695@qq.com; yangdan_0822@163.com; 3294247343@qq.com; rxy352@163.com						46	0	0	10	20	I P PUBLISHING LTD	LONDON	258 BELSIZE RD, LONDON NW6 4BT, ENGLAND	1354-8166	2044-0375		TOURISM ECON	Tour. Econ.	DEC	2015	21	6					1169	1187		10.5367/te.2015.0521		19	Economics; Hospitality, Leisure, Sport & Tourism	Business & Economics; Social Sciences - Other Topics	DG1FG	WOS:000371810400004		
J	Yang, LJ; Li, H; Yi, LY; Zhao, WH				Yang Li-Jun; Li Hong; Yi Ling-Ya; Zhao Wen-Hua			Absorption and Fluorescence Properties of Oxidized and N-doped Graphene Quantum Dots: A Time-dependent DFT Study	CHINESE JOURNAL OF STRUCTURAL CHEMISTRY			English	Article						absorption; density functional theory; graphene; fluorescence; amino function	DENSITY-FUNCTIONAL THEORY; ONE-STEP SYNTHESIS; EXCITED-STATES; ELECTRONIC-STRUCTURES; PROTON-TRANSFER; OXIDE; PHOTOLUMINESCENCE; REDUCTION; CORONENE; SPECTRA	Absorption and emission properties of oxidized graphene quantum dots (GQDs) and amino functionalized GQDs (NG) were explored by B3LYP method combined with 6-31G (d) basis set. The oxygen- and nitrogen-containing groups can tune the intensity as well as the wavelength of absorption and emission. The groups such as hydroxyl, carboxyl, amino, amide, and pyridine-like N can appropriately lengthen the absorption and emission wavelength of GQDs. However, the carbonyl group, graphitic-like N, and pyrrolic-like N obviously decrease the oscillator strength and lengthen the emission wavelength of GQDs out of the visible region. The lowest excited state Si of NG has the strongest emission in investigated complexes, which indicates that it is an excellent luminous material. The theoretical investigations verify that the oxygen- and nitrogen-related groups can tune the luminescence of GQDs. The fluorescence quenching of GQDs reduced by ammonia mainly depends on the graphitic-like and pyrrolic-like N.	[Yang Li-Jun; Li Hong; Yi Ling-Ya; Zhao Wen-Hua] China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637009, Sichuan, Peoples R China	Yang, LJ (reprint author), China West Normal Univ, Coll Chem & Chem Engn, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637009, Sichuan, Peoples R China.	ljyang@cwnu.edu.cn			Science&Technology Department of Sichuan Province [2011JYZO18]; Education Department of Sichuan Provincial [12ZA170]	This project was supported by the Scientific Research Fund of Science&Technology Department of Sichuan Province (2011JYZO18) and Education Department of Sichuan Provincial (12ZA170)		37	0	0	7	18	CHINESE JOURNAL STRUCTURAL CHEMISTRY	FUJIAN	FUIJAN INST RES STRUCT MATTER, CHINESE ACAD SCIENCES, FUZHOU, FUJIAN 350002, PEOPLES R CHINA	0254-5861			CHINESE J STRUC CHEM	Chin. J. Struct. Chem.	DEC	2015	34	12					1803	1812				10	Chemistry, Inorganic & Nuclear; Crystallography	Chemistry; Crystallography	DC8IJ	WOS:000369462800002		
J	Tang, C; Pu, ZH; Liu, Q; Asiri, AM; Sun, XP; Luo, YL; He, YQ				Tang, Chun; Pu, Zonghua; Liu, Qian; Asiri, Abdullah M.; Sun, Xuping; Luo, Yonglan; He, Yuquan			In Situ Growth of NiSe Nanowire Film on Nickel Foam as an Electrode for High-Performance Supercapacitors	CHEMELECTROCHEM			English	Article						high capacity; insitu growth; nickel foam; nickel selenide; supercapacitors	ELECTROCHEMICAL CAPACITORS; SOLVOTHERMAL SYNTHESIS; HYDROTHERMAL SYNTHESIS; DIFFERENT MORPHOLOGIES; NANOSHEET ARRAYS; ENERGY-STORAGE; NANOROD ARRAYS; OXIDE; NANOSTRUCTURES; HYDROGEN	We report on the facile one-step hydrothermal preparation of a NiSe nanowire film on nickel foam (NiSe/NF) as a novel binder-free electrode material for supercapacitors. This electrode delivers a high specific capacitance of 1790 Fg(-1) and an areal capacitance of 5.01 Fcm(-2) at a current density of 5 Ag-1.	[Tang, Chun; Pu, Zonghua; Liu, Qian; Sun, Xuping; Luo, Yonglan] China West Normal Univ, Key Lab Sichuan Prov, Coll Chem & Chem Engn, Chem Synth & Pollut Control, Nanchong 637002, Sichuan, Peoples R China; [Asiri, Abdullah M.] King Abdulaziz Univ, Dept Chem, Jeddah 21589, Saudi Arabia; [Asiri, Abdullah M.] King Abdulaziz Univ, Ctr Excellence Adv Mat Res, Jeddah 21589, Saudi Arabia; [He, Yuquan] Jilin Univ, Dept Cardiol, China Japan Union Hosp, Changchun 130033, Peoples R China	Sun, XP (reprint author), China West Normal Univ, Key Lab Sichuan Prov, Coll Chem & Chem Engn, Chem Synth & Pollut Control, Nanchong 637002, Sichuan, Peoples R China.	sunxp@cwnu.edu.cn; luoylcwnu@hotmail.com; yuquanhe@hotmail.com	Asiri, Abdullah/C-3458-2009	Asiri, Abdullah/0000-0001-7905-3209				42	11	11	29	106	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	2196-0216			CHEMELECTROCHEM	ChemElectroChem	DEC	2015	2	12					1903	1907		10.1002/celc.201500285		5	Electrochemistry	Electrochemistry	DB2UH	WOS:000368364700006		
J	Wang, L; Liao, TT; Wang, XL; Yuan, GP; Yuan, SB				Wang Le; Liao Ting-Ting; Wang Xi-Long; Yuan Gui-Ping; Yuan Shi-Bin			Chitosan supplementation may improve the digestive physiology and health of captive Leiothrix lutea	AVIAN BIOLOGY RESEARCH			English	Article						chitosan; Leiothrix lutea; nutrient metabolism; intestinal histology; digestive enzymes	GROWTH-PERFORMANCE; BROILER-CHICKENS; DIETARY CHITOSAN; FAT DEPOSITION; DIGESTIBILITY; DERIVATIVES; MORPHOLOGY	We investigated the effects of supplemental chitosan on digestibility of feed nutrients, intestinal histology and digestive enzyme activity in the pancreas, duodenum and jejunoileum in Leiothrix lutea. Sixty-four adult birds were randomly allotted to one of four dietary treatments (basal diet supplemented with 0%, 0.1%, 0.5% and 1% chitosan). The experiment lasted for 30 days, of which the last 4 days involved metabolic experiments. Compared with the control group, the addition of 0.5% chitosan enhanced the apparent metabolism rate of dry matter, metabolisable energy, crude fat and phosphorus, and decreased apparent metabolism rate of calcium; crude protein was unaffected. Compared with the control group, the villous height of the duodenum and ileum supplemented with 0.5% chitosan increased by 12.11% and 15.03%, while the crypt depth in the duodenum deepened by 6.48%. Supplemental chitosan decreased lipase and amylase activities; trypsin and chymotrypsin activities increased first and then decreased as the level of chitosan increased. These data suggest that dietary chitosan (0.5%) may improve the digestive physiology of L. lutea in captivity by increasing the apparent metabolic rate of most nutrients, improving intestinal health and enhancing digestive enzyme activity.	[Wang Le; Liao Ting-Ting; Wang Xi-Long; Yuan Shi-Bin] China West Normal Univ, Coll Life Sci, Minist Educ, Key Lab Southwest China Wildlife Resources Conser, Nanchong 637002, Sichuan, Peoples R China; [Yuan Gui-Ping] Sichuan Univ, Analyt & Testing Ctr, Chengdu 610064, Sichuan, Peoples R China	Wang, L (reprint author), China West Normal Univ, Coll Life Sci, Minist Educ, Key Lab Southwest China Wildlife Resources Conser, 1 Shida Rd, Nanchong 637002, Sichuan, Peoples R China.	yshibin@sina.com			National Natural Science Foundation of China [31470462]; Open Fund Project of the Key Laboratory of Southwest China Wildlife Resources Conservation, China West Normal University [XNYB11-4]	This study was supported by the National Natural Science Foundation of China (31470462) and the Open Fund Project of the Key Laboratory of Southwest China Wildlife Resources Conservation, China West Normal University (XNYB11-4).		42	1	1	1	6	SCIENCE REVIEWS 2000 LTD	ST ALBANS	PO BOX 314, ST ALBANS AL1 4ZG, HERTS, ENGLAND	1758-1559	1758-1567		AVIAN BIOL RES	Avian Biol. Res.	DEC	2015	8	4					221	226		10.3184/175815515X14424111706317		6	Agriculture, Dairy & Animal Science; Ornithology; Zoology	Agriculture; Zoology	DB2MN	WOS:000368343100003		
J	Watanabe, N; Mochida, M; Martinek, P; Peng, ZS				Watanabe, Nobuyoshi; Mochida, Mika; Martinek, Petr; Peng, Zhengsong			Blue aleurone trait diagnoses developmental origin of three pistils in a floret in common wheat	PLANT BREEDING			English	Article						blue aleurone; intrafloret segregation; three pistils in a floret; xenia	SPRING WHEAT; GENE; STAMENS; YIELD	The common 'three-pistil' (TP) wheat mutation line expresses TPs in a floret normally containing TPs forming three grains set close back-to-back. The developmental origin of the TP trait in common wheat had been diagnosed non-destructively using the blue aleurone trait. The aleurone colour of F-2 seeds grown in F-1 plants of cross TP/UC66049 was evaluated. Due to xenia, the hue of blue grain colour depended on dose of the Ba1 gene for blue aleurone in the triploid endosperm. The TP trait produced four types of segregation in three-seed clusters: (i) white grain only, (ii) two white grains and one blue, (iii) one white grain and two blue, and (iv) three blue grains only. The observed frequency of blue-white seed within clusters followed the binominal distribution C-3(r) (0.75)(r).(0.25)(3-r), where r is the number of colour variants in three-seed clusters (r = 0-3). Intrafloret segregation of seed colour and F-2 segregation derived from aleurone colour of F-3 seeds indicated an independent origin of the TP trait.	[Watanabe, Nobuyoshi; Mochida, Mika] Ibaraki Univ, Coll Agr, Ami, Ibaraki 3000393, Japan; [Martinek, Petr] Agrotest Fyto Kromeriz Ltd, Kromeriz 76701, Czech Republic; [Peng, Zhengsong] China West Normal Univ, Coll Life Sci, Key Lab Southwest China Wildlife Resources Conser, Nanchong 637009, Sichuan, Peoples R China	Watanabe, N (reprint author), Ibaraki Univ, Coll Agr, 3-21-1 Chuo, Ami, Ibaraki 3000393, Japan.	watnb@mx.ibaraki.ac.jp			Elizabeth Arnold Fuji Foundation, Nagoya, Japan; Ministry of Agriculture of the Czech Republic [QJ1510206]; Science and Technology Department of Sichuan Province, China [2012HH0015]	We acknowledge C.O. Qualset, University of California, Davis, for providing to NW the UC66049 seed samples. We thank D.L. Klindworth, USDA-ARS, Northern Crop Science Laboratory, Fargo, ND, USA, for helpful comments on our manuscript. The work was supported in particular by the Elizabeth Arnold Fuji Foundation, Nagoya, Japan; the Ministry of Agriculture of the Czech Republic (Project No. QJ1510206); and the Science and Technology Department of Sichuan Province, China (Project No. 2012HH0015).		28	0	0	5	11	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0179-9541	1439-0523		PLANT BREEDING	Plant Breed.	DEC	2015	134	6					641	645		10.1111/pbr.12308		5	Agronomy; Biotechnology & Applied Microbiology; Plant Sciences	Agriculture; Biotechnology & Applied Microbiology; Plant Sciences	DB1KL	WOS:000368267000004		
J	Zhou, Y; Zhang, L; Cheng, ZJ				Zhou, Yong; Zhang, Lei; Cheng, Zhengjun			Removal of organic pollutants from aqueous solution using agricultural wastes: A review	JOURNAL OF MOLECULAR LIQUIDS			English	Review						Agricultural wastes; Preparation; Adsorption organic pollutants; Response surface methodology; Adsorption mechanism; Regeneration	RESPONSE-SURFACE METHODOLOGY; METHYLENE-BLUE ADSORPTION; MICROWAVE-INDUCED KOH; RICE HUSK ASH; MICROPOROUS ACTIVATED CARBON; LOW-COST ADSORBENT; POLYCYCLIC AROMATIC-HYDROCARBONS; SODIUM-HYDROXIDE ACTIVATION; FACTORIAL DESIGN ANALYSIS; ERIOCHROME BLACK T	Among various wastewater treatment techniques, adsorption is supposed as one of the best methods due to its inexpensiveness, universal nature and ease of operation. Then, the use of agricultural waste for organic pollutants adsorption from aqueous solution has been reviewed. This article focuses on the preparation of activated carbon through various agricultural wastes and their modified. Moreover, the adsorption capacity for organic pollutants (such as dyes, petroleum hydrocarbons, pharmaceuticals, pesticides, and other organics) and desorption approaches have been investigated. In addition, optimization of activated carbon preparation conditions and adsorption process variables using response surface methodology (RSM) was also summarized. Adsorption mechanisms of organic pollutants are briefly discussed. The review implied the potential of agricultural wastes for organic pollutants removal from wastewater. (C) 2015 Elsevier B.V. All rights reserved.	[Zhou, Yong; Zhang, Lei; Cheng, Zhengjun] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Sichuan, Peoples R China; [Zhou, Yong; Zhang, Lei; Cheng, Zhengjun] Southwest Petr Univ, Sch Chem & Chem Engn, Chengdu 610500, Sichuan, Peoples R China; [Cheng, Zhengjun] China West Normal Univ, Chem Synth & Pollut Control Key Lab Sichuan Prov, Nanchong 637002, Sichuan, Peoples R China	Zhang, L (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610500, Sichuan, Peoples R China.	zgc166929@sohu.com; ncczj1112@126.com			Sichuan Provincial Science & Technology Fund for Distinguished Young Scholars [2012JQ0058]; SKLOGRGE (SWPU) [PLN-ZL002, PLN1408]	Financial support from Sichuan Provincial Science & Technology Fund for Distinguished Young Scholars (2012JQ0058), with the SKLOGRGE (PLN-ZL002, PLN1408, SWPU) is gratefully acknowledged.		274	11	11	26	76	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0167-7322	1873-3166		J MOL LIQ	J. Mol. Liq.	DEC	2015	212						739	762		10.1016/j.molliq.2015.10.023		24	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	DA2MQ	WOS:000367630000088		
J	Chen, L; Shan, LH; Zhang, JF; Xu, WL; Wu, MY; Huang, S; Zhou, XL				Chen, Lin; Shan, Lianhai; Zhang, Jifa; Xu, Wenliang; Wu, Mingyu; Huang, Shuai; Zhou, Xianli			Diterpenoid Alkaloids from Aconitum soongaricum var. pubescens	NATURAL PRODUCT COMMUNICATIONS			English	Article						Aconitum soongaricum var. pubescens; Diterpenoid alkaloids; Antifeedant activity	ANTIFEEDANT; BEETLE	One new diterpenoid alkaloid, pubescensine (1), along with nine known diterpenoid alkaloids (2-10) were isolated from the roots of Aconitztm soongaricunt var. pubescens. Their structures were elucidated by spectroscopic analyses and comparison with previously reported data. All the compounds were evaluated for their antifeedant activities. The aconitine-type diterpenoid alkaloids (1-6) showed considerably potent antifeedant activity (EC50 < 1 mg/cm(2)), while the activities of napelline-type diterpenoid alkaloids (compds. 7,9 and 10) were not significant (EC50 > 50 mg/cm(2)).	[Chen, Lin; Shan, Lianhai; Zhang, Jifa; Xu, Wenliang; Wu, Mingyu; Huang, Shuai; Zhou, Xianli] Southwest Jiaotong Univ, Sch Life Sci & Engn, Chengdu 610031, Peoples R China; [Chen, Lin; Zhou, Xianli] Southwest Jiaotong Univ, Sch Mat Sci & Engn, Minist Educ, Key Lab Adv Technol Mat, Chengdu 610031, Peoples R China; [Chen, Lin] China West Normal Univ, Sch Chem & Chem Engn, Nanchong 637002, Peoples R China	Huang, S (reprint author), Southwest Jiaotong Univ, Sch Life Sci & Engn, Chengdu 610031, Peoples R China.	shuaih@home.swjtu.edu.cn; xxbiochem@163.com			National Natural Science Foundation of China [31171695]; Science and Technology Support Programs of Sichuan Province [2013SZ0083]; Research Foundation for Educational Commission of Sichuan Province [15TD0048, 15ZB0140]; Fundamental Research Funds for Central Universities [2682014RC15]	This work was financially supported by the National Natural Science Foundation of China (31171695), the Science and Technology Support Programs of Sichuan Province (2013SZ0083), the Research Foundation for Educational Commission of Sichuan Province (15TD0048 and 15ZB0140) and the Fundamental Research Funds for Central Universities (2682014RC15).		18	3	3	1	4	NATURAL PRODUCTS INC	WESTERVILLE	7963 ANDERSON PARK LN, WESTERVILLE, OH 43081 USA	1934-578X	1555-9475		NAT PROD COMMUN	Nat. Prod. Commun.	DEC	2015	10	12			SI		2063	2065				3	Chemistry, Medicinal; Food Science & Technology	Pharmacology & Pharmacy; Food Science & Technology	CZ6KX	WOS:000367211300015	26882665	
J	Shan, LH; Zhang, JF; Chen, L; Wang, JX; Huang, S; Zhou, XL				Shan, Lianhai; Zhang, Jifa; Chen, Lin; Wang, Jiaxi; Huang, Shuai; Zhou, Xianli			Two New C-18-Diterpenoid Alkaloids from Delphinium anthriscifolium	NATURAL PRODUCT COMMUNICATIONS			English	Article						Delphinium anthriscifoliwn var. majus; Diterpenoid alkaloids; Anthriscifoltine; NMR	VAR. SAVATIERI	Two new C-18-diterpenoid alkaloids, anthriscifoltine A (1) and anthriscifoltine B (2), along with three known diterpenoid alkaloids, deoxydelcorine (3), anthriscifolcine A (4) and anthriscifolcine G (5), were isolated from the whole herbs of Delphinium anthriscifolium var. mains.. Their structures were elucidated by spectroscopic methods, including 1D, 2D NMR, and HR-ESI-MS.	[Shan, Lianhai; Zhang, Jifa; Wang, Jiaxi; Huang, Shuai; Zhou, Xianli] Southwest Jiaotong Univ, Sch Life Sci & Engn, Chengdu 610031, Peoples R China; [Shan, Lianhai; Zhou, Xianli] Southwest Jiaotong Univ, Sch Mat Sci & Engn, Minist Educ, Key Lab Adv Technol Mat, Chengdu 610031, Peoples R China; [Chen, Lin] China West Normal Univ, Sch Chem & Chem Engn, Nanchong 637002, Peoples R China	Huang, S (reprint author), Southwest Jiaotong Univ, Sch Life Sci & Engn, Chengdu 610031, Peoples R China.	shuaih@home.swjtu.edu.cn; xxbiochem@163.com			National Natural Science Foundation of China [31171695]; Science and Technology Support Programs of Sichuan Province [2013SZ0083]; Innovation Team Fund of Sichuan Province Education Department [15TD0048]; Applied Basic Research of Sichuan Province [2014JY0125]; Fundamental Research Funds for Central Universities [2682013CX033, 2682014RC15]	This work was financially supported by the National Natural Science Foundation of China (31171695), the Science and Technology Support Programs of Sichuan Province (2013SZ0083), Innovation Team Fund of Sichuan Province Education Department (15TD0048), Applied Basic Research of Sichuan Province (2014JY0125) and the Fundamental Research Funds for Central Universities (2682013CX033, 2682014RC15).		10	1	1	1	3	NATURAL PRODUCTS INC	WESTERVILLE	7963 ANDERSON PARK LN, WESTERVILLE, OH 43081 USA	1934-578X	1555-9475		NAT PROD COMMUN	Nat. Prod. Commun.	DEC	2015	10	12			SI		2067	2068				2	Chemistry, Medicinal; Food Science & Technology	Pharmacology & Pharmacy; Food Science & Technology	CZ6KX	WOS:000367211300016	26882666	
